Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Paint & Stain,Paint,Paint Color,select,Avocado,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Cream,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Barn White,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Jasper Gray,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Steel Gray,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Charcoal,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Dark Gray,,,each,small,Non-vinyl,,,FALSE,
Paint & Stain,Paint,Paint Color,select,Black,,,each,small,Non-vinyl,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Navajo White,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Almond,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Buckskin,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Clay,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Shale,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Brown,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Bronze,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Spice,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Pinnacle Red,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Mountain Red,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Jamestown Red,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Woodland Green,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Wild Grasses,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Avocado,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Cream,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Barn White,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Jasper Gray,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Steel Gray,,,each,"small, large",,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Charcoal,,,each,"small, large",,,,FALSE,
